you	Y UW 
i	AY 
the	DH AH 
to	T UW 
a	AH 
it	IH T 
and	AH N D 
that	DH AE T 
of	AH V 
in	IH N 
what	W AH T 
is	IH Z 
me	M IY 
we	W IY 
he	HH IY 
this	DH IH S 
for	F AO R 
my	M AY 
on	AA N 
your	Y AO R 
have	HH AE V 
do	D UW 
no	N OW 
don	D AA N 
are	AA R 
be	B IY 
not	N AA T 
was	W AA Z 
can	K AE N 
know	N OW 
with	W IH DH 
all	AO L 
but	B AH T 
here	HH IY R 
there	DH EH R 
they	DH EY 
so	S OW 
get	G EH T 
just	JH AH S T 
go	G OW 
like	L AY K 
up	AH P 
come	K AH M 
right	R AY T 
she	SH IY 
him	HH IH M 
out	AW T 
if	IH F 
at	AE T 
now	N AW 
one	W AH N 
about	AH B AW T 
how	HH AW 
oh	OW 
want	W AA N T 
got	G AA T 
her	HH ER 
will	W IH L 
well	W EH L 
see	S IY 
good	G UH D 
let	L EH T 
yes	Y EH S 
think	TH IH NG K 
as	AE Z 
who	HH UW 
why	W AY 
yeah	Y AE 
did	D IH D 
from	F R AH M 
his	HH IH Z 
when	W EH N 
going	G OW IH NG 
man	M AE N 
take	T EY K 
where	W EH R 
time	T AY M 
them	DH EH M 
back	B AE K 
an	AE N 
us	AH S 
look	L UH K 
or	AO R 
would	W UH D 
say	S EY 
were	W ER 
been	B IH N 
then	DH EH N 
had	HH AE D 
tell	T EH L 
some	S AH M 
our	AW ER 
okay	OW K EY 
by	B AY 
too	T UW 
gonna	G AA N AH 
down	D AW N 
could	K UH D 
hey	HH EY 
something	S AH M TH IH NG 
never	N EH V ER 
way	W EY 
very	V EH R IY 
more	M AO R 
really	R IH L IY 
has	HH AE Z 
make	M EY K 
over	OW V ER 
please	P L IY Z 
only	OW N L IY 
love	L AH V 
give	G IH V 
little	L IH T AH L 
need	N IY D 
people	P IY P AH L 
off	AO F 
two	T UW 
said	S EH D 
sorry	S AA R IY 
thank	TH AE NG K 
am	AE M 
sir	S ER 
should	SH UH D 
mean	M IY N 
any	EH N IY 
because	B IH K AO Z 
much	M AH CH 
sure	SH UH R 
even	IY V IH N 
doing	D UW IH NG 
nothing	N AH TH IH NG 
must	M AH S T 
these	DH IY Z 
thing	TH IH NG 
help	HH EH L P 
god	G AA D 
day	D EY 
first	F ER S T 
won	W AH N 
life	L AY F 
anything	EH N IY TH IH NG 
again	AH G EH N 
away	AH W EY 
stop	S T AA P 
wait	W EY T 
night	N AY T 
find	F AY N D 
into	IH N T UW 
work	W ER K 
still	S T IH L 
put	P UH T 
home	HH OW M 
call	K AO L 
before	B IH F AO R 
better	B EH T ER 
their	DH EH R 
other	AH DH ER 
talk	T AO K 
after	AE F T ER 
maybe	M EY B IY 
great	G R EY T 
than	DH AE N 
those	DH OW Z 
always	AO L W EY Z 
thought	TH AO T 
long	L AO NG 
money	M AH N IY 
old	OW L D 
everything	EH V R IY TH IH NG 
